name,path,versionBucket,kind,extension,size,sizeLabel,importCandidate,status,localPath,rawUrl,githubUrl,featureTags
AOHELL95_source_code.zip,25-30/AOHELL95_source_code.zip,AOL 2.5-3.0,source archive,.zip,365436,357 KB,yes,ready,files/external/raw-githubusercontent-com/aohell95-source-code-21a5d709.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/AOHELL95_source_code.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/AOHELL95_source_code.zip,source/tutorial; all-in-one/prog suite
BUSTER.FRM,25-30/decom/evictionmm/BUSTER.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,15590,15 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/BUSTER.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/BUSTER.FRM,all-in-one/prog suite
BUSTER.FRX,25-30/decom/evictionmm/BUSTER.FRX,AOL 2.5-3.0,Visual Basic project file,.frx,32866,32 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/BUSTER.FRX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/BUSTER.FRX,all-in-one/prog suite
CMDIALOG.VBX,25-30/decom/evictionmm/CMDIALOG.VBX,AOL 2.5-3.0,runtime/control file,.vbx,18688,18 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/CMDIALOG.VBX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/CMDIALOG.VBX,all-in-one/prog suite
dbpush.vbx,25-30/decom/evictionmm/dbpush.vbx,AOL 2.5-3.0,runtime/control file,.vbx,31584,31 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/dbpush.vbx,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/dbpush.vbx,all-in-one/prog suite
DFX.htm,25-30/decom/evictionmm/DFX.htm,AOL 2.5-3.0,text/readme file,.htm,3835,3.7 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/DFX.htm,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/DFX.htm,all-in-one/prog suite
MAIN.TXT,25-30/decom/evictionmm/MAIN.TXT,AOL 2.5-3.0,text/readme file,.txt,733,733 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MAIN.TXT,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MAIN.TXT,all-in-one/prog suite
MAINMMER.FRM,25-30/decom/evictionmm/MAINMMER.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,23874,23 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MAINMMER.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MAINMMER.FRM,mass mailer/server; all-in-one/prog suite
MAINMMER.FRX,25-30/decom/evictionmm/MAINMMER.FRX,AOL 2.5-3.0,Visual Basic project file,.frx,153974,150 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MAINMMER.FRX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MAINMMER.FRX,mass mailer/server; all-in-one/prog suite
MMER.0,25-30/decom/evictionmm/MMER.0,AOL 2.5-3.0,decom,.0,6428,6.3 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.0,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.0,mass mailer/server; all-in-one/prog suite
MMER.1,25-30/decom/evictionmm/MMER.1,AOL 2.5-3.0,decom,.1,2744,2.7 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.1,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.1,mass mailer/server; all-in-one/prog suite
MMER.2,25-30/decom/evictionmm/MMER.2,AOL 2.5-3.0,decom,.2,438,438 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.2,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.2,mass mailer/server; all-in-one/prog suite
MMER.3,25-30/decom/evictionmm/MMER.3,AOL 2.5-3.0,decom,.3,1032,1.0 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.3,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.3,mass mailer/server; all-in-one/prog suite
MMER.4,25-30/decom/evictionmm/MMER.4,AOL 2.5-3.0,decom,.4,160,160 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.4,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.4,mass mailer/server; all-in-one/prog suite
MMER.5,25-30/decom/evictionmm/MMER.5,AOL 2.5-3.0,decom,.5,1173,1.1 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.5,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.5,mass mailer/server; all-in-one/prog suite
MMER.6,25-30/decom/evictionmm/MMER.6,AOL 2.5-3.0,decom,.6,570,570 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.6,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.6,mass mailer/server; all-in-one/prog suite
MMER.7,25-30/decom/evictionmm/MMER.7,AOL 2.5-3.0,decom,.7,361,361 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.7,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.7,mass mailer/server; all-in-one/prog suite
MMER.FRM,25-30/decom/evictionmm/MMER.FRM,AOL 2.5-3.0,Visual Basic project file,.frm,44120,43 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.FRM,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.FRM,mass mailer/server; all-in-one/prog suite
MMER.FRX,25-30/decom/evictionmm/MMER.FRX,AOL 2.5-3.0,Visual Basic project file,.frx,276106,270 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.FRX,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.FRX,mass mailer/server; all-in-one/prog suite
MMER.MAK,25-30/decom/evictionmm/MMER.MAK,AOL 2.5-3.0,decom,.mak,285,285 B,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MMER.MAK,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MMER.MAK,mass mailer/server; all-in-one/prog suite
MODULE1.BAS,25-30/decom/evictionmm/MODULE1.BAS,AOL 2.5-3.0,Visual Basic module,.bas,31206,30 KB,no,linked,,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programming/vb/aol/25-30/decom/evictionmm/MODULE1.BAS,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programming/vb/aol/25-30/decom/evictionmm/MODULE1.BAS,source/tutorial; all-in-one/prog suite
